Sample,04_data,05_trimmed,06_merged,07_split_amplicons,08_chimeras,12_results
12SQU3920171Blank,214,38,33,34,34,24
12SQU3920172Blank,273,72,71,72,72,66
12SQU3920173Blank1,508,150,150,151,151,136
12SQU3920173Blank2,704,153,141,140,140,109
12SQU3920181-Blank,180,79,76,77,77,10
12SQU3920182-Blank,144,39,37,38,38,18
12SQU3920183-Blank,320,97,85,79,79,40
CMIC245,97794,80005,79921,71086,71086,68819
CMIC246,136760,112538,112485,110908,110908,106338
CMIC257,164976,136545,136461,132008,132008,128839
CMIC258,152315,130399,130340,128157,128157,123597
CMIC259,138874,115027,114946,110871,110871,108603
CMIC260,127944,107457,107380,101247,101247,97726
CMIC261,128232,104468,104344,93698,93698,74065
CMIC262,94315,78195,78161,77665,77665,75127
CMIC263,110280,89939,89892,89623,89623,88588
CMIC264,112604,92226,92160,89090,89090,87410
CMIC265,121237,97501,97435,96001,96001,92270
CMIC266,129955,109943,109879,102978,102978,97900
CMIC267,123261,100198,100119,96389,96389,93439
CMIC268,140510,114340,114281,110138,110138,107304
CMIC718,137791,111797,111757,111558,111558,109525
CMIC719,94921,78748,78708,77457,77457,74723
CMIC720,126731,103975,103943,103375,103375,100857
CMIC721,83144,67795,67711,59096,59096,58250
CMIC722,119917,101365,101330,100950,100950,97497
CMIC723,121564,104105,104065,102779,102779,101498
CMIC724,135684,114520,114479,114251,114251,110726
CMIC725,149300,127027,126979,125520,125520,117352
CMIC726,126474,105457,105388,105137,105137,102275
CMIC727,174975,143951,143907,143181,143181,139617
EC-16-01-24,171,22,16,13,13,9
EC-18-01-24,73,25,21,9,9,6
EC-18-10-23,64374,52473,52453,52162,52162,52022
EC-19-01-24,483,444,441,6,6,5
EC-24-01-24,241001,188206,187507,186476,186476,15
EC-25-01-24,325062,264307,264265,263270,263270,262377
EC-29-01-24,540,493,489,11,11,10
EC-30-01-24,565,512,511,11,11,10
Extr-Neg,35057,27230,27009,18,18,15
Fall-EC-05-02-24,6340,5972,5970,5955,5955,1
Fall-EC-06-02-24,71529,67107,67073,66927,66927,0
Fall-EC-08-02-24,9,2,1,2,2,1
Fall-EC-20-02-24,55945,52867,52851,52699,52699,19
Fall-EC-21-02-24,164,93,89,83,83,72
Fall-PCR1-control,70,56,56,57,57,1
Fall-PCR1-control2,185937,175805,175768,175442,175442,56929
FjeDNA001,106295,82580,82523,82382,82382,78707
