Sample	Primer	Species	Similarity	NumSequences
12SQU3920171Blank	12s_MiFish	Clupeinae_Clupea_pallasii	100.0	3
12SQU3920171Blank	12s_MiFish	Clupeinae_Clupea_pallasii	99.4	1
12SQU3920171Blank	12s_MiFish	Cottidae_Enophrys_bison	100.0	1
12SQU3920171Blank	12s_MiFish	Cottidae_Hemilepidotus_hemilepidotus	100.0	1
12SQU3920171Blank	12s_MiFish	Cottidae_Icelinus_filamentosus	99.4	1
12SQU3920171Blank	12s_MiFish	Cottidae_Scorpaenichthys_marmoratus	100.0	1
12SQU3920171Blank	12s_MiFish	Cryptacanthodidae_Cryptacanthodes_giganteus	98.8	3
12SQU3920171Blank	12s_MiFish	Embiotocidae_Cymatogaster_aggregata	97.0	1
12SQU3920171Blank	12s_MiFish	Embiotocidae_Cymatogaster_aggregata	98.2	1
12SQU3920171Blank	12s_MiFish	Engraulinae_Engraulis_mordax	100.0	1
12SQU3920171Blank	12s_MiFish	Gadidae_Gadus_chalcogrammus	99.4	1
12SQU3920171Blank	12s_MiFish	Hexagrammidae_Ophiodon_elongatus	100.0	1
12SQU3920171Blank	12s_MiFish	Merlucciidae_Merluccius_productus	100.0	2
12SQU3920171Blank	12s_MiFish	Merlucciidae_Merluccius_productus	99.4	1
12SQU3920171Blank	12s_MiFish	Myctophidae_Stenobrachius_leucopsarus	99.4	1
12SQU3920171Blank	12s_MiFish	Salmoninae_Oncorhynchus_keta	100.0	2
12SQU3920172Blank	12s_MiFish	Anoplopomatidae_Anoplopoma_fimbria	100.0	1
12SQU3920172Blank	12s_MiFish	Clupeinae_Clupea_pallasii	100.0	17
12SQU3920172Blank	12s_MiFish	Clupeinae_Clupea_pallasii	98.8	1
12SQU3920172Blank	12s_MiFish	Clupeinae_Clupea_pallasii	99.4	7
12SQU3920172Blank	12s_MiFish	Cottidae_Artedius_harringtoni	100.0	1
12SQU3920172Blank	12s_MiFish	Cottidae_Enophrys_bison	99.4	1
12SQU3920172Blank	12s_MiFish	Embiotocidae_Cymatogaster_aggregata	100.0	1
12SQU3920172Blank	12s_MiFish	Embiotocidae_Cymatogaster_aggregata	98.8	2
12SQU3920172Blank	12s_MiFish	Hexagrammidae_Hexagrammos_decagrammus	100.0	1
12SQU3920172Blank	12s_MiFish	Hexagrammidae_Hexagrammos_decagrammus	99.4	1
12SQU3920172Blank	12s_MiFish	Hexagrammidae_Hexagrammos_lagocephalus	98.8	1
12SQU3920172Blank	12s_MiFish	Merlucciidae_Merluccius_productus	100.0	10
12SQU3920172Blank	12s_MiFish	Merlucciidae_Merluccius_productus	97.1	1
12SQU3920172Blank	12s_MiFish	Merlucciidae_Merluccius_productus	98.2	1
12SQU3920172Blank	12s_MiFish	Merlucciidae_Merluccius_productus	98.8	2
12SQU3920172Blank	12s_MiFish	Merlucciidae_Merluccius_productus	99.4	4
12SQU3920172Blank	12s_MiFish	Myctophidae_Stenobrachius_leucopsarus	100.0	2
12SQU3920172Blank	12s_MiFish	Pholinae_Pholis_laeta	100.0	1
12SQU3920172Blank	12s_MiFish	Pleuronectidae_Lepidopsetta_polyxystra	98.8	1
12SQU3920172Blank	12s_MiFish	Sebastinae_Sebastes_maliger	97.6	1
12SQU3920172Blank	12s_MiFish	Sebastinae_Sebastes_maliger	99.4	2
12SQU3920173Blank1	12s_MiFish	Ammodytidae_Ammodytes_personatus	100.0	1
