,Project,Survey,Work_Area,Organization,Year,Month,Day,Hakai.ID,Date,Depth,Location.ID,Site_ID,Lat,Long,Season,Feature,Site_ID_Depth_Season,Site_ID_Depth_Date,CTD_depth,Conductivity,Temperature,Pressure,PAR,Fluorometry,Turbidity,Dissolved_O2,Salinity,Depth_feature,Label,Line_Out_Depth
53,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,2,1,FjeDNA035,2023-02-01,100,Bute,BU1,50.37,-125.08,Winter,100m,BU1_Winter_100m_2023,BU1_100m_1.2.2023,99.10321848,32.23435216,8.413665241,100,0.3549548,0.134075238,0.28257904,3.231351311,30.35641386,100m,BU1_100m_1,100
205,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,5,8,FjeDNA205,2023-05-08,100,Bute,BU1,50.37,-125.08,Spring,100m,BU1_Spring_100m_2023,BU1_100m_8.5.2023,99.11368614,32.66675637,8.713736565,100,0.47573725,0.204985753,0.278624895,3.379369296,30.54744092,100m,BU1_100m_1,100
734,NONE,HISTORICAL,QUADRA,HAKAI,2022,7,8,QMIC4887,2022-07-08,100,Bute,BU1,50.37,-125.08,Summer,100m,BU1_Summer_100m_2022,BU1_100m_8.7.2022,100.11,32.351967,8.7924,101,0.000072193,0.13521,0.157,2.8975,30.1542,100m,BU1_100_1,100
544,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,8,23,FjeDNA552,2023-08-23,100,Bute,BU1,50.37,-125.08,Summer,100m,BU1_Summer_100m_2023,BU1_100m_23.8.2023,100.111718,32.44622859,8.65391863,101,0.585945683,0.111397305,0.272927875,3.070848129,30.36990721,100m,,100
575,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,11,16,FjeDNA584,2023-11-16,100,Bute,BU1,50.37,-125.08,Fall,100m,BU1_Fall_100m_2023,BU1_100m_16.11.2023,100.1027219,32.84526088,8.926387778,NA,0.344254914,0.098698409,0.191627278,2.706516,30.54852421,100m,,
51,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,2,1,FjeDNA033,2023-02-01,10,Bute,BU1,50.37,-125.08,Winter,10m,BU1_Winter_10m_2023,BU1_10m_1.2.2023,9.9218701,30.57350934,7.558869444,10,6.407988833,0.526731498,0.30488038,4.519071694,29.37639378,top_10m,BU1_10m_1,10
203,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,5,8,FjeDNA203,2023-05-08,10,Bute,BU1,50.37,-125.08,Spring,10m,BU1_Spring_10m_2023,BU1_10m_8.5.2023,9.955161548,31.90743073,9.266489093,10,8.507670833,7.300202731,0.52481127,4.707479999,29.34049945,top_10m,BU1_10m_1,10
542,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,8,23,FjeDNA550,2023-08-23,10,Bute,BU1,50.37,-125.08,Summer,10m,BU1_Summer_10m_2023,BU1_10m_23.8.2023,10.93689423,31.81669252,9.782918185,11,3.536208667,3.267426499,0.429674765,3.95832558,28.83008739,top_10m,,10
573,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,11,16,FjeDNA582,2023-11-16,10,Bute,BU1,50.37,-125.08,Fall,10m,BU1_Fall_10m_2023,BU1_10m_16.11.2023,10.94289347,31.70591601,9.23434054,NA,16.89229143,0.317311195,0.187344954,4.216061293,29.16139762,top_10m,,
732,NONE,HISTORICAL,QUADRA,HAKAI,2022,7,8,QMIC4885,2022-07-08,30,Bute,BU1,50.37,-125.08,Summer,30m,BU1_Summer_30m_2022,BU1_30m_8.7.2022,30.732,31.200174,9.8766,31,0.74167,0.34344,0.41,3.6951,28.1322,10-deep,BU1_30_1,30
56,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,2,1,FjeDNA038,2023-02-01,555.3231,Bute,BU1,50.37,-125.08,Winter,bottom,BU1_Winter_bottom_2023,BU1_bottom_1.2.2023,566.4542051,33.57627669,9.250537091,572,0.3950243,0.075674626,0.468035843,2.563235614,30.82380626,bottom,BU1_bottom_1,557
208,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,5,8,FjeDNA208,2023-05-08,554.4909,Bute,BU1,50.37,-125.08,Spring,bottom,BU1_Spring_bottom_2023,BU1_bottom_8.5.2023,567.4173192,32.9983337,8.697484889,573,0.374838433,0.076053103,0.522749233,3.115728738,30.70619778,bottom,BU1_bottom_1,557
736,NONE,HISTORICAL,QUADRA,HAKAI,2022,7,8,QMIC4889,2022-07-08,400,Bute,BU1,50.37,-125.08,Summer,bottom,BU1_Summer_bottom_2022,BU1_bottom_8.7.2022,400.146,33.19498,8.9826,404,0.000082578,0.13438,0.207,2.3593,30.7329,bottom,BU1_400_1,400
547,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,8,23,FjeDNA555,2023-08-23,559.28,Bute,BU1,50.37,-125.08,Summer,bottom,BU1_Summer_bottom_2023,BU1_bottom_23.8.2023,566.3408134,32.95059646,8.635777255,572,0.470103668,0.07375563,0.357991331,2.932599714,30.71033143,bottom,,557
578,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,11,16,FjeDNA587,2023-11-16,558,Bute,BU1,50.37,-125.08,Fall,bottom,BU1_Fall_bottom_2023,BU1_bottom_16.11.2023,541.7064536,33.353405,9.031685508,NA,0.406446171,0.072490436,0.285966242,2.680041732,30.79428482,bottom,,
49,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,2,1,FjeDNA031,2023-02-01,0,Bute,BU1,50.37,-125.08,Winter,Surface,BU1_Winter_Surface_2023,BU1_Surface_1.2.2023,1.894055951,29.53050486,6.83089925,2,24.90893375,0.977043238,0.295552831,5.282863945,28.876986,top_10m,BU1_surface_1,0
