DB,Phylum,Class,Order,Family,Genus,Species,scientificName,Total,BU1_Fall_100m_2023,BU1_Fall_10m_2023,BU1_Fall_bottom_2023,BU1_Fall_Surface_2023,BU1_Spring_100m_2023,BU1_Spring_10m_2023,BU1_Spring_bottom_2023,BU1_Spring_Surface_2023,BU1_Summer_100m_2023,BU1_Summer_10m_2023,BU1_Summer_bottom_2023,BU1_Summer_Surface_2023,BU1_Winter_100m_2023,BU1_Winter_10m_2023,BU1_Winter_bottom_2023,BU1_Winter_Surface_2023,BU4_Fall_100m_2023,BU4_Fall_10m_2023,BU4_Fall_bottom_2023,BU4_Fall_Surface_2023,BU4_Spring_100m_2023,BU4_Spring_10m_2023,BU4_Spring_bottom_2023,BU4_Spring_Surface_2023,BU4_Summer_10m_2023,BU4_Summer_bottom_2023,BU4_Summer_Surface_2023,BU4_Winter_100m_2023,BU4_Winter_10m_2023,BU4_Winter_bottom_2023,BU4_Winter_Surface_2023,BU7_Fall_100m_2023,BU7_Fall_10m_2023,BU7_Fall_bottom_2023,BU7_Spring_100m_2023,BU7_Spring_10m_2023,BU7_Spring_bottom_2023,BU7_Spring_Surface_2023,BU7_Summer_100m_2023,BU7_Summer_10m_2023,BU7_Summer_bottom_2023,BU7_Winter_100m_2023,BU7_Winter_10m_2023,BU7_Winter_bottom_2023,BU7_Winter_Surface_2023,DFO1_Fall_100m_2023,DFO1_Fall_10m_2023,DFO1_Fall_bottom_2023,DFO1_Fall_Surface_2023,DFO1_Spring_100m_2023,DFO1_Spring_10m_2023,DFO1_Spring_bottom_2023,DFO1_Spring_Surface_2023,DFO1_Summer_100m_2023,DFO1_Summer_10m_2023,DFO1_Summer_Surface_2023,DFO1_Winter_100m_2023,DFO1_Winter_10m_2023,DFO1_Winter_bottom_2023,DFO1_Winter_Surface_2023,DFO2_Fall_10m_2023,DFO2_Fall_bottom_2023,DFO2_Fall_Surface_2023,DFO2_Spring_100m_2023,DFO2_Spring_10m_2023,DFO2_Spring_bottom_2023,DFO2_Spring_Surface_2023,DFO2_Summer_10m_2023,DFO2_Summer_Surface_2023,DFO2_Winter_100m_2023,DFO2_Winter_10m_2023,DFO2_Winter_bottom_2023,DFO2_Winter_Surface_2023,DFO4_Fall_100m_2023,DFO4_Fall_10m_2023,DFO4_Fall_bottom_2023,DFO4_Fall_Surface_2023,DFO4_Spring_100m_2023,DFO4_Spring_10m_2023,DFO4_Spring_bottom_2023,DFO4_Spring_Surface_2023,DFO4_Summer_100m_2023,DFO4_Summer_10m_2023,DFO4_Summer_bottom_2023,DFO4_Winter_10m_2023,DFO4_Winter_Surface_2023,HS01_Fall_100m_2023,HS01_Fall_10m_2023,HS01_Fall_bottom_2023,HS01_Fall_Surface_2023,HS01_Spring_100m_2023,HS01_Spring_10m_2023,HS01_Spring_bottom_2023,HS01_Spring_Surface_2023,HS01_Summer_100m_2023,HS01_Summer_10m_2023,HS01_Summer_bottom_2023,HS01_Summer_Surface_2023,HS01_Winter_100m_2023,HS01_Winter_10m_2023,HS01_Winter_bottom_2023,HS01_Winter_Surface_2023,HS02_Fall_100m_2023,HS02_Fall_10m_2023,HS02_Fall_bottom_2023,HS02_Fall_Surface_2023,HS02_Spring_100m_2023,HS02_Spring_10m_2023,HS02_Spring_bottom_2023,HS02_Spring_Surface_2023,HS02_Summer_bottom_2023,HS02_Summer_Surface_2023,HS02_Winter_100m_2023,HS02_Winter_10m_2023,HS02_Winter_bottom_2023,HS02_Winter_Surface_2023,HS03_Fall_100m_2023,HS03_Fall_10m_2023,HS03_Fall_bottom_2023,HS03_Fall_Surface_2023,HS03_Spring_100m_2023,HS03_Spring_10m_2023,HS03_Spring_bottom_2023,HS03_Spring_Surface_2023,HS03_Summer_100m_2023,HS03_Summer_bottom_2023,HS03_Summer_Surface_2023,HS03_Winter_100m_2023,HS03_Winter_10m_2023,HS03_Winter_bottom_2023,HS03_Winter_Surface_2023,HSGLASSR1_Fall_100m_2023,HSGLASSR1_Fall_10m_2023,HSGLASSR1_Fall_bottom_2023,HSGLASSR1_Spring_100m_2023,HSGLASSR1_Spring_10m_2023,HSGLASSR1_Spring_bottom_2023,HSGLASSR1_Spring_Surface_2023,HSGLASSR1_Summer_100m_2023,HSGLASSR1_Summer_bottom_2023,HSGLASSR1_Summer_Surface_2023,HSPLANT_Fall_Surface_2023,HSPLANT_Spring_Surface_2023,HSPLANT_Summer_10m_2023,HSPLANT_Summer_Surface_2023,IA01_Fall_100m_2023,IA01_Fall_10m_2023,IA01_Fall_bottom_2023,IA01_Fall_Surface_2023,IA01_Spring_100m_2023,IA01_Spring_10m_2023,IA01_Spring_bottom_2023,IA01_Spring_Surface_2023,IA01_Summer_100m_2023,IA01_Summer_10m_2023,IA01_Summer_bottom_2023,IA01_Summer_Surface_2023,IA01_Winter_100m_2023,IA01_Winter_10m_2023,IA01_Winter_bottom_2023,IA01_Winter_Surface_2023,IA02_Fall_100m_2023,IA02_Fall_10m_2023,IA02_Fall_bottom_2023,IA02_Fall_Surface_2023,IA02_Spring_100m_2023,IA02_Spring_10m_2023,IA02_Spring_bottom_2023,IA02_Spring_Surface_2023,IA02_Summer_100m_2023,IA02_Summer_10m_2023,IA02_Summer_bottom_2023,IA02_Summer_Surface_2023,IA02_Winter_100m_2023,IA02_Winter_10m_2023,IA02_Winter_bottom_2023,IA02_Winter_Surface_2023,IA03_Fall_100m_2023,IA03_Fall_10m_2023,IA03_Fall_bottom_2023,IA03_Fall_Surface_2023,IA03_Spring_100m_2023,IA03_Spring_10m_2023,IA03_Spring_bottom_2023,IA03_Spring_Surface_2023,IA03_Summer_100m_2023,IA03_Summer_10m_2023,IA03_Summer_bottom_2023,IA03_Summer_Surface_2023,IA03_Winter_100m_2023,IA03_Winter_10m_2023,IA03_Winter_bottom_2023,IA03_Winter_Surface_2023,TO2A_Fall_100m_2023,TO2A_Fall_10m_2023,TO2A_Fall_bottom_2023,TO2A_Fall_Surface_2023,TO2A_Spring_100m_2023,TO2A_Spring_10m_2023,TO2A_Spring_bottom_2023,TO2A_Spring_Surface_2023,TO2A_Summer_100m_2023,TO2A_Summer_10m_2023,TO2A_Summer_Surface_2023,TO2A_Winter_100m_2023,TO2A_Winter_10m_2023,TO2A_Winter_bottom_2023,TO2A_Winter_Surface_2023,TO3A_Fall_100m_2023,TO3A_Fall_10m_2023,TO3A_Fall_bottom_2023,TO3A_Fall_Surface_2023,TO3A_Spring_100m_2023,TO3A_Spring_10m_2023,TO3A_Spring_bottom_2023,TO3A_Spring_Surface_2023,TO3A_Summer_10m_2023,TO3A_Summer_bottom_2023,TO3A_Summer_Surface_2023,TO3A_Winter_100m_2023,TO3A_Winter_10m_2023,TO3A_Winter_bottom_2023,TO3A_Winter_Surface_2023,TO4A_Fall_100m_2023,TO4A_Fall_10m_2023,TO4A_Fall_bottom_2023,TO4A_Fall_Surface_2023,TO4A_Spring_100m_2023,TO4A_Spring_10m_2023,TO4A_Spring_bottom_2023,TO4A_Spring_Surface_2023,TO4A_Summer_100m_2023,TO4A_Summer_10m_2023,TO4A_Summer_bottom_2023,TO4A_Summer_Surface_2023,TO4A_Winter_100m_2023,TO4A_Winter_10m_2023,TO4A_Winter_bottom_2023,TO4A_Winter_Surface_2023
BOLD,Chordata,Actinopteri,Scorpaeniformes,Agonidae,Agonopsis,vulsa,Agonopsis vulsa,17531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17331,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,aestivalis,Alosa aestivalis,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,pseudoharengus,Alosa pseudoharengus,50878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10773,0,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD,Chordata,Actinopteri,Trachiniformes,Ammodytidae,Ammodytes,hexapterus,Ammodytes hexapterus,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
BOLD,Chordata,Actinopteri,Scorpaeniformes,Anarhichadidae,Anarrhichthys,ocellatus,Anarrhichthys ocellatus,7020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,101,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208
BOLD,Chordata,Actinopteri,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,Anoplopoma fimbria,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD,Chordata,Actinopteri,Gadiformes,Gadidae,Arctogadus,glacialis,Arctogadus glacialis,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
BOLD,Chordata,Actinopteri,Scorpaeniformes,Cottidae,Artedius,fenestralis,Artedius fenestralis,72849,0,0,0,0,0,0,1007,0,0,0,0,0,0,0,0,9,0,0,0,0,930,427,688,1087,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,9070,0,8338,0,0,0,0,19,0,364,0,0,0,0,7,16,0,14466,0,0,0,19,17,377,0,0,2,36,26,4,7793,0,0,0,0,1517,1009,0,0,0,0,0,0,620,0,0,0,0,138,0,189,0,4,0,0,0,0,0,0,0,0,0,0,0,73,0,302,0,0,2,0,0,0,0,0,0,0,0,404,0,1347,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,183,0,0,0,0,0,0,0,0,0,2694,0,0,0,0,94,0,69,0,0,0,0,0,0,0,0,0,0,3097,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,345,90,493,564,0,0,0,0,0,9,0,0,0,0,0,1040,0,73,0,0,2,0,0,2,0,0,12992
BOLD,Chordata,Actinopteri,Scorpaeniformes,Cottidae,Artedius,lateralis,Artedius lateralis,8801,0,0,0,0,21,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,236,411,0,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,10,123,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,8,158,0,0,0,0,0,0,0,0,16,0,0,0,423,257,0,403,0,0,0,0,0,0,0,0,0,0,0,0,1486,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0
BOLD,Chordata,Actinopteri,Scorpaeniformes,Cottidae,Ascelichthys,rhodorus,Ascelichthys rhodorus,7127,0,0,0,0,0,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,800,0,0,0,0,0,0,0,0,0,0,0,1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,94,0,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0
