,Phylum,Class,Order,Family,Genus,Species,scientificName,BU1_Fall_100m_2023,BU1_Fall_10m_2023,BU1_Fall_bottom_2023,BU1_Fall_Surface_2023,BU1_Spring_100m_2023,BU1_Spring_10m_2023,BU1_Spring_bottom_2023,BU1_Spring_Surface_2023,BU1_Summer_100m_2023,BU1_Summer_10m_2023,BU1_Summer_bottom_2023,BU1_Summer_Surface_2023,BU1_Winter_100m_2023,BU1_Winter_10m_2023,BU1_Winter_bottom_2023,BU1_Winter_Surface_2023,BU4_Fall_100m_2023,BU4_Fall_10m_2023,BU4_Fall_bottom_2023,BU4_Fall_Surface_2023,BU4_Spring_100m_2023,BU4_Spring_10m_2023,BU4_Spring_bottom_2023,BU4_Spring_Surface_2023,BU4_Summer_10m_2023,BU4_Summer_bottom_2023,BU4_Summer_Surface_2023,BU4_Winter_100m_2023,BU4_Winter_10m_2023,BU4_Winter_bottom_2023,BU4_Winter_Surface_2023,BU7_Fall_100m_2023,BU7_Fall_10m_2023,BU7_Fall_bottom_2023,BU7_Spring_100m_2023,BU7_Spring_10m_2023,BU7_Spring_bottom_2023,BU7_Spring_Surface_2023,BU7_Summer_100m_2023,BU7_Summer_10m_2023,BU7_Summer_bottom_2023,BU7_Winter_100m_2023,BU7_Winter_10m_2023,BU7_Winter_bottom_2023,BU7_Winter_Surface_2023,DFO1_Fall_100m_2023,DFO1_Fall_10m_2023,DFO1_Fall_bottom_2023,DFO1_Fall_Surface_2023,DFO1_Spring_100m_2023,DFO1_Spring_10m_2023,DFO1_Spring_bottom_2023,DFO1_Spring_Surface_2023,DFO1_Summer_100m_2023,DFO1_Summer_10m_2023,DFO1_Summer_Surface_2023,DFO1_Winter_100m_2023,DFO1_Winter_10m_2023,DFO1_Winter_bottom_2023,DFO1_Winter_Surface_2023,DFO2_Fall_100m_2023,DFO2_Fall_10m_2023,DFO2_Fall_bottom_2023,DFO2_Fall_Surface_2023,DFO2_Spring_100m_2023,DFO2_Spring_10m_2023,DFO2_Spring_bottom_2023,DFO2_Spring_Surface_2023,DFO2_Summer_100m_2023,DFO2_Summer_10m_2023,DFO2_Summer_Surface_2023,DFO2_Winter_100m_2023,DFO2_Winter_10m_2023,DFO2_Winter_bottom_2023,DFO2_Winter_Surface_2023,DFO4_Fall_100m_2023,DFO4_Fall_10m_2023,DFO4_Fall_bottom_2023,DFO4_Fall_Surface_2023,DFO4_Spring_100m_2023,DFO4_Spring_10m_2023,DFO4_Spring_bottom_2023,DFO4_Spring_Surface_2023,DFO4_Summer_100m_2023,DFO4_Summer_10m_2023,DFO4_Summer_bottom_2023,DFO4_Winter_10m_2023,DFO4_Winter_Surface_2023,HS01_Fall_100m_2023,HS01_Fall_10m_2023,HS01_Fall_bottom_2023,HS01_Fall_Surface_2023,HS01_Spring_100m_2023,HS01_Spring_10m_2023,HS01_Spring_bottom_2023,HS01_Spring_Surface_2023,HS01_Summer_100m_2023,HS01_Summer_10m_2023,HS01_Summer_bottom_2023,HS01_Summer_Surface_2023,HS01_Winter_100m_2023,HS01_Winter_10m_2023,HS01_Winter_bottom_2023,HS01_Winter_Surface_2023,HS02_Fall_100m_2023,HS02_Fall_10m_2023,HS02_Fall_bottom_2023,HS02_Fall_Surface_2023,HS02_Spring_100m_2023,HS02_Spring_10m_2023,HS02_Spring_bottom_2023,HS02_Spring_Surface_2023,HS02_Summer_100m_2023,HS02_Summer_bottom_2023,HS02_Summer_Surface_2023,HS02_Winter_100m_2023,HS02_Winter_10m_2023,HS02_Winter_bottom_2023,HS02_Winter_Surface_2023,HS03_Fall_100m_2023,HS03_Fall_10m_2023,HS03_Fall_bottom_2023,HS03_Fall_Surface_2023,HS03_Spring_100m_2023,HS03_Spring_10m_2023,HS03_Spring_bottom_2023,HS03_Spring_Surface_2023,HS03_Summer_100m_2023,HS03_Summer_bottom_2023,HS03_Summer_Surface_2023,HS03_Winter_100m_2023,HS03_Winter_10m_2023,HS03_Winter_bottom_2023,HS03_Winter_Surface_2023,HSGLASSR1_Fall_100m_2023,HSGLASSR1_Fall_10m_2023,HSGLASSR1_Fall_bottom_2023,HSGLASSR1_Spring_100m_2023,HSGLASSR1_Spring_10m_2023,HSGLASSR1_Spring_bottom_2023,HSGLASSR1_Spring_Surface_2023,HSGLASSR1_Summer_100m_2023,HSGLASSR1_Summer_bottom_2023,HSGLASSR1_Summer_Surface_2023,HSPLANT_Fall_Surface_2023,HSPLANT_Spring_Surface_2023,HSPLANT_Summer_10m_2023,HSPLANT_Summer_Surface_2023,IA01_Fall_100m_2023,IA01_Fall_10m_2023,IA01_Fall_bottom_2023,IA01_Fall_Surface_2023,IA01_Spring_100m_2023,IA01_Spring_10m_2023,IA01_Spring_bottom_2023,IA01_Spring_Surface_2023,IA01_Summer_100m_2023,IA01_Summer_10m_2023,IA01_Summer_bottom_2023,IA01_Summer_Surface_2023,IA01_Winter_100m_2023,IA01_Winter_10m_2023,IA01_Winter_bottom_2023,IA01_Winter_Surface_2023,IA02_Fall_100m_2023,IA02_Fall_10m_2023,IA02_Fall_bottom_2023,IA02_Fall_Surface_2023,IA02_Spring_100m_2023,IA02_Spring_10m_2023,IA02_Spring_bottom_2023,IA02_Spring_Surface_2023,IA02_Summer_100m_2023,IA02_Summer_10m_2023,IA02_Summer_bottom_2023,IA02_Summer_Surface_2023,IA02_Winter_100m_2023,IA02_Winter_10m_2023,IA02_Winter_bottom_2023,IA02_Winter_Surface_2023,IA03_Fall_100m_2023,IA03_Fall_10m_2023,IA03_Fall_bottom_2023,IA03_Fall_Surface_2023,IA03_Spring_100m_2023,IA03_Spring_10m_2023,IA03_Spring_bottom_2023,IA03_Spring_Surface_2023,IA03_Summer_100m_2023,IA03_Summer_10m_2023,IA03_Summer_bottom_2023,IA03_Summer_Surface_2023,IA03_Winter_100m_2023,IA03_Winter_10m_2023,IA03_Winter_bottom_2023,IA03_Winter_Surface_2023,TO2A_Fall_100m_2023,TO2A_Fall_10m_2023,TO2A_Fall_Surface_2023,TO2A_Spring_100m_2023,TO2A_Spring_10m_2023,TO2A_Spring_bottom_2023,TO2A_Spring_Surface_2023,TO2A_Summer_100m_2023,TO2A_Summer_10m_2023,TO2A_Summer_bottom_2023,TO2A_Summer_Surface_2023,TO2A_Winter_100m_2023,TO2A_Winter_10m_2023,TO2A_Winter_bottom_2023,TO2A_Winter_Surface_2023,TO3A_Fall_100m_2023,TO3A_Fall_10m_2023,TO3A_Fall_bottom_2023,TO3A_Fall_Surface_2023,TO3A_Spring_100m_2023,TO3A_Spring_10m_2023,TO3A_Spring_bottom_2023,TO3A_Spring_Surface_2023,TO3A_Summer_100m_2023,TO3A_Summer_10m_2023,TO3A_Summer_bottom_2023,TO3A_Summer_Surface_2023,TO3A_Winter_100m_2023,TO3A_Winter_10m_2023,TO3A_Winter_bottom_2023,TO3A_Winter_Surface_2023,TO4A_Fall_100m_2023,TO4A_Fall_10m_2023,TO4A_Fall_bottom_2023,TO4A_Fall_Surface_2023,TO4A_Spring_100m_2023,TO4A_Spring_10m_2023,TO4A_Spring_bottom_2023,TO4A_Spring_Surface_2023,TO4A_Summer_100m_2023,TO4A_Summer_10m_2023,TO4A_Summer_bottom_2023,TO4A_Summer_Surface_2023,TO4A_Winter_100m_2023,TO4A_Winter_10m_2023,TO4A_Winter_bottom_2023,TO4A_Winter_Surface_2023
1,Chordata,Actinopteri,Scorpaeniformes,Agonidae,Agonopsis,vulsa,Agonopsis vulsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007710238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000145999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002121935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229895,0,0,0,0,0,0,4.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Chordata,Actinopteri,Scorpaeniformes,Stichaeidae,Alectrias,alectrolophus,Alectrias alectrolophus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006644983,0,0,0,0,0,0.010286893,0,0,0,0.007441113,0,0,0,0.037758609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048895061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064441991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166536904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013181003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013079929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056936755,0,0.042413126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278981254,0,0.018136231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049208726,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051726351,0,0,0,0,0,0,0,0,0
3,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,sapidissima,Alosa sapidissima,0,0,0,0,0,0.003116359,0,0,0,0,0,0,0,0,0,0,0,0,0.000719599,0,0,0.000539121,0,0,0,0,0,0,0,0,0,0,0.71161974,0,0,0,0,0,0,0,0,0,0,0,0.103594513,0,0,0,0.092747009,0,0.004004585,0.000704725,0.000425285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001221823,0,0.000269671,0,0,0,0,0,0,0,0.51162508,0,0.07544424,0.00850341,0,0,0,0,0,0,0.000111311,0,0,0,0,0,0.003454857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076127799,1,0,0,0.000352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25E-05,8.72E-05,0,0,8.56E-05,0,0.007219793,0,0,0,0,0,0,0,0,0,0,0
4,Chordata,Actinopteri,Trachiniformes,Ammodytidae,Ammodytes,personatus,Ammodytes personatus,0,0,0,0,0,0,0,0.11854252,0,0,0,0,0,0,0,0,0,6.68E-05,0,0.230375802,0,0.002938276,0,0,0,1,0,0.001066124,0,0,0,0,0.172890229,0,0,0,0,0,0,0,0,6.83E-05,5.74E-05,0.000103987,0,0,3.96E-05,0,0,0,0,0.005492399,0.122194583,0,0,5.30E-05,0.000385405,0.66427291,8.03E-05,0.354661382,0,0,0,0,0,0,0,0.005261165,0,0,0,0.104151507,0.522076352,0.000181146,0.231517933,0,0,0.000159681,0,0,0,0,0,0,0,1.60E-05,0.045556352,0.120354877,3.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035513746,0,3.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.008622351,0,0,0,3.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009120464,0,0.005757901,0,0,0,0,0,0,0,6.24E-05,0,0,0,0,6.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,2.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087674484,0,0.061040591,0,0,0,0,0,0,0.300956306,0.001160309,1.55E-05,0.051141018,1.98E-05,0,0,0.064561382,0,0,0,0,0,0,0,0,9.27E-05,0,5.86E-05,0,0,0,0,0.131325031,0,0,0,0,0,0,0,0,0.000295652,0.212203624,0.000120283,0.000146063
5,Chordata,Actinopteri,Scorpaeniformes,Anarhichadidae,Anarrhichthys,ocellatus,Anarrhichthys ocellatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463986952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380132,0,0,0,0,0,0.001411249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131431416,0,0,0,0,0,0,0.058731151,0,0,0,0,0,0,0,0.001346447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000592367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001387225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027430774
6,Chordata,Actinopteri,Scorpaeniformes,Stichaeidae,Anisarchus,medius,Anisarchus medius,0,0,0,0,0,0,0.015705966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117103764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176387077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030866941,0,0,0,0,0,0,0,0.06103366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067195387
7,Chordata,Actinopteri,Scorpaeniformes,Stichaeidae,Anoplarchus,sp,Anoplarchus sp,0,0,0,0,0.045595331,0.125582114,0.023016827,0,0,0,0,0,0.000211718,0.000222862,0.000461299,0.000678136,0,0,0,0.665062531,0.025008918,0.00566724,0,0.020634125,0,0,0,0.006189984,0,0,0.091066471,0,0,0,0.018894068,0,0.335556691,0,0,0,0,0,0,0.000526584,0.066936705,0,0,0,0.129459023,0.009298544,0.008265314,0.12285381,0.00494786,0,0,0,0.000194058,0,0,0.001503861,0,0,0,0.124839766,0.029321766,0.053737333,0.018962893,0.001178129,0,0,0,0.002740843,0.001152507,0.000279181,0,0,0,0,0,0.405667944,0.085271087,0,0.144041256,0,0,0,0.616313189,0.090288306,0,0.387260402,0,0,0.059334891,0,0.223995906,0.113516289,0.000315404,0,0,0.000177769,0,0,0,0,0,0,0,0,0.02743512,0,0.012762172,0.600464469,0,0,0,8.03E-05,0,0,0,0,0,0,0.000161892,0.008951274,0,0.017732057,0.000515464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001206881,0,0,0,0,0,0,0,0,0,0,0.00017095,0.114366682,0.008253318,0.019717959,0.02928337,0,0,0,0,0,0,0.000829332,0.000485661,0,0,0.000167227,0.000284074,0.071554977,0,0.006427122,0,0,0,0.593123126,0,0,0,0.000234422,0.154203839,0,0,0.00016869,0.001016174,0.00171872,0,0,0,0,0,0,0,6.24E-05,1,0.00020634,0.471501185,0,0,0,0.024941361,0,0.001726584,0.134504694,0,0,0,0,0,0,0.001303536,0,0,0,0,0,0.015979147,0,0.020484348,0.436511303,0,0,0,0,0.00072663,0.005971693,0.00063455,0.020606385,0,0,0,0,0,0,0.024019457,0,0,0,0,0,0,8.11E-05,0,0.000248922
8,Chordata,Actinopteri,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,Anoplopoma fimbria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008676881,0,0,0,0,0,0.011086119,0,0,0,0,0,0,0.070888414,0,0,0,0,0,0,0.004225072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130376454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957814984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016487685,0.27171371,0,0,0,0,0,0,0,0,0,0,0,0,0.060936342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005212362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Chordata,Actinopteri,Scorpaeniformes,Pholidae,Apodichthys,flavidus,Apodichthys flavidus,0,0,0,0,0,0,0.038847863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042398326,0.23248324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002208526,0,0,0,0,0,0,0,0.125539205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306659397,0,0,0,0,0,0,0,0,0,0,0,0.023190718,0,0.28257948,0.927773734,0,0,0,0,0,0,0.000340901,0,0,0,0,0,0.027662591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060668197,0,0.019468418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.112839227,0.123100604,0,0,0,0,0,0,0.003445501,0,0,0,0,0,0,0.061153685,0.079701387,0,0.015801263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002689457,0,0,0,0,0.054053494,0,0.082157513,0,0,0,0,0,0,0.007460407,0,0,0,0,0,0,0,0,0.024518512,0,0,0,0,0,0,0,0,0.005011181
10,Chordata,Actinopteri,Scorpaeniformes,Cottidae,Artedius,fenestralis,Artedius fenestralis,0,0,0,0,0,0,0.016501514,0,0,0,0,0,0,0,0,0.000271701,0,0,0,0,0.047656889,0.022690969,0.094126652,0.187945395,0,0,0,0,0,6.12E-05,0,0,0,0,0.000182541,0,0,0,0,0,0,0,0.356630508,0,0.520580409,0,0,0,0,0.003500053,0,0.066658937,0,0,0,0,0.000370095,0.001061169,0,1,0,0,0,0,0.001611301,0.014814931,0.013144905,0,0,0,0.000353956,0.001726831,0.001926808,0.000190156,0.50830225,0,0,0,0,0.794546747,0.070964267,0,0,0,0,0,0,0.041714449,0,0,0,0,0.041428183,0,0.170683144,0,0.000572875,0,0,0,0,0,0,0,0,0,0,0,0.007264364,0,0.014997082,0,0,0,0.000179856,0,0,0,0,0,0,0,0,0.042239291,0,0.09067735,0.020574069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131021916,0.017616995,0,0,0,0,0,0,0,0,0,0.147126967,0,0,0,0,0.038254384,0,0.003006108,0,0,0,0,0,0,0,0,0,0,0.350391766,0,0,0,0,0.001972263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000981324,0,0,0,0,0,0.025835462,0.007761338,0.019477791,0.798997608,0,0,0,0,0,0,0.000353622,0,0,0,0,0,0.495836384,0,0.004732034,0,0,0.00024206,0,0,0.000137274,0,0,0.917922771
