"","scientificName","Phylum","Class","Order","Genus"
"1","Anas acuta","Chordata","Aves","Anseriformes","Anas"
"2","Anas platyrhynchos","Chordata","Aves","Anseriformes","Anas"
"3","Anatidae sp.","Chordata","Aves","Anseriformes","Anatidae"
"4","Anser caerulescens","Chordata","Aves","Anseriformes","Anser"
"5","Branta bernicla","Chordata","Aves","Anseriformes","Branta"
"6","Branta canadensis","Chordata","Aves","Anseriformes","Branta"
"7","Bucephala albeola","Chordata","Aves","Anseriformes","Bucephala"
"8","Bucephala clangula","Chordata","Aves","Anseriformes","Bucephala"
"9","Bucephala islandica","Chordata","Aves","Anseriformes","Bucephala"
"10","Clangula hyemalis","Chordata","Aves","Anseriformes","Clangula"
"11","Gavia immer","Chordata","Aves","Gaviiformes","Gavia"
"12","Gavia pacifica","Chordata","Aves","Gaviiformes","Gavia"
"13","Junco hyemalis","Chordata","Aves","Passeriformes","Junco"
"14","Larus argentatus","Chordata","Aves","Charadriiformes","Larus"
"15","Larus canus","Chordata","Aves","Charadriiformes","Larus"
"16","Larus delawarensis","Chordata","Aves","Charadriiformes","Larus"
"17","Larus occidentalis","Chordata","Aves","Charadriiformes","Larus"
"18","Larus sp.","Chordata","Aves","Charadriiformes","Larus"
"19","Melanitta perspicillata","Chordata","Aves","Anseriformes","Melanitta"
"20","Mergus merganser","Chordata","Aves","Anseriformes","Mergus"
"21","Mergus serrator","Chordata","Aves","Anseriformes","Mergus"
