DB,Phylum,Class,Order,Family,Genus
SILVA138,Protalveolata,Perkinsidae,A31,A31,A31
SILVA138,Ochrophyta,Chrysophyceae,A-3-62,A-3-62,A-3-62
SILVA138,Holozoa,Ichthyosporea,Abeoformidae,Abeoformidae,Abeoforma
SILVA138,Holozoa,Ichthyosporea,Abeoformidae,Abeoformidae,Abeoformidae
SILVA138,Holozoa,Ichthyosporea,Abeoformidae,Abeoformidae,Marine_Ichthyosporeans_1
SILVA138,Holozoa,Ichthyosporea,Abeoformidae,Abeoformidae,Pirum
SILVA138,Retaria,Acantharia,Acantharea_Group_I,Acantharea_Group_I,Acantharea_Group_I
SILVA138,Retaria,Acantharia,Acantharea_Group_II,Acantharea_Group_II,Acantharea_Group_II
SILVA138,Retaria,Acantharia,Acantharea_Group_VI,Acantharea_Group_VI,Acantharea_Group_VI
SILVA138,Retaria,Acantharia,Acantharia,Acantharia,Acantharia
BOLD,Annelida,Clitellata,Acanthobdellida,Acanthobdellidae,Acanthobdella
BOLD,Annelida,Clitellata,Acanthobdellida,Acanthobdellidae,Acanthobdellidae
SILVA138,Holozoa,Choanoflagellida,Acanthoecida,Acanthoecida,Acanthoecida
SILVA138,Holozoa,Choanoflagellida,Acanthoecida,Acanthoecidae,Acanthoecidae
SILVA138,Holozoa,Choanoflagellida,Acanthoecida,Acanthoecidae,FV23-1A4
SILVA138,Holozoa,Choanoflagellida,Acanthoecida,Acanthoecidae,Pleurasiga
SILVA138,Holozoa,Choanoflagellida,Acanthoecida,Stephanoecidae,Bicosta
SILVA138,Holozoa,Choanoflagellida,Acanthoecida,Stephanoecidae,Calliacantha
SILVA138,Holozoa,Choanoflagellida,Acanthoecida,Stephanoecidae,Diaphanoeca
SILVA138,Holozoa,Choanoflagellida,Acanthoecida,Stephanoecidae,Marine_Choanoflagellates_1
SILVA138,Holozoa,Choanoflagellida,Acanthoecida,Stephanoecidae,Marine_Choanoflagellates_2
SILVA138,Holozoa,Choanoflagellida,Acanthoecida,Stephanoecidae,Stephanoeca
SILVA138,Holozoa,Choanoflagellida,Acanthoecida,Stephanoecidae,Stephanoecidae
MIDORI16S,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus
MIDORI16S,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Ctenochaetus
BOLD,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Naso
BOLD,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Paracanthurus
BOLD,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Prionurus
BOLD,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Zebrasoma
BOLD,Chordata,Actinopteri,Acanthuriformes,Emmelichthyidae,Emmelichthys
BOLD,Chordata,Actinopteri,Acanthuriformes,Emmelichthyidae,Erythrocles
BOLD,Chordata,Actinopteri,Acanthuriformes,Emmelichthyidae,Plagiogeneion
BOLD,Chordata,Actinopteri,Acanthuriformes,Luvaridae,Luvarus
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Aplodinotus
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Argyrosomus
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Atractoscion
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Atrobucca
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Austronibea
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Bahaba
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Bairdiella
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Boesemania
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Cheilotrema
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Chrysochir
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Cilus
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Collichthys
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Corvula
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Ctenosciaena
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Cynoscion
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Daysciaena
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Dendrophysa
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Equetus
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Genyonemus
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Isopisthus
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Johnius
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Larimichthys
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Larimus
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Leiostomus
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Lonchurus
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Macrodon
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Macrospinosa
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Megalonibea
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Menticirrhus
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Micropogonias
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Miichthys
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Nebris
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Nibea
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Odontoscion
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Ophioscion
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Otolithes
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Otolithoides
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Pachypops
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Pachyurus
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Pama
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Panna
BOLD,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Paralonchurus
