scientificName,CommonName,FullName,AbbreviatedName,FullNameAbbreviated
Caliraja rhina,Longnose skate,Longnose skate (Caliraja rhina),C. raja,Longnose skate (C. rhina)
Anas platyrhynchos,Wild duck,Wild duck (Anas platyrhynchos),A. platyrhynchos,Wild duck (A. platyrhynchos)
Branta canadensis,Canada goose,Canada goose (Branta canadensis),B. canadensis,Canada goose (B. canadensis)
Anser caerulescens,Snow goose,Snow goose (Anser caerulescens),A. caerulescens,Snow goose (A. caerulescens)
Melanitta perspicillata,Surf scoter,Surf scoter (Melanitta perspicillata),M. perspicillata,Surf scoter (M. perspicillata)
Bucephala islandica,Barrow's goldeneye,Barrow's goldeneye (Bucephala islandica),B. islandica,Barrow's goldeneye (B. islandica)
Bucephala clangula,Common goldeneye,Common goldeneye (Bucephala clangula),B. clangula,Common goldeneye (B. clangula)
Bucephala albeola,Bufflehead ,Bufflehead  (Bucephala albeola),B. albeola,Bufflehead  (B. albeola)
Anas acuta,Northern pintail,Northern pintail (Anas acuta),A. acuta,Northern pintail (A. acuta)
Clangula hyemalis,Long-tailed duck,Long-tailed duck (Clangula hyemalis),C. hyemalis,Long-tailed duck (C. hyemalis)
Phoca vitulina,Harbor seal,Harbor seal (Phoca vitulina),P. vitulina,Harbor seal (P. vitulina)
Phocoena phocoena,Harbour porpoise,Harbour porpoise (Phocoena phocoena),P. phocoena,Harbour porpoise (P. phocoena)
Delphinus delphis,Common doplhin,Common doplhin (Delphinus delphis),D. delphis,Common doplhin (D. delphis)
Larus argentatus,European herring gull,European herring gull (Larus argentatus),L. argentatus,European herring gull (L. argentatus)
Megaptera novaeangliae,Humpback whale,Humpback whale (Megaptera novaeangliae),M. novaeangliae,Humpback whale (M. novaeangliae)
Acipenser transmontanus,White sturgeon,White sturgeon (Acipenser transmontanus),A. transmontanus,White sturgeon (A. transmontanus)
Agonopsis vulsa,Northern spearnose poacher,Northern spearnose poacher (Agonopsis vulsa),A. vulsa,Northern spearnose poacher (A. vulsa)
Alectrias alectrolophus,Stone cockscomb,Stone cockscomb (Alectrias alectrolophus),A. alectrolophus,Stone cockscomb (A. alectrolophus)
Allosmerus elongatus,Whitebait smelt,Whitebait smelt (Allosmerus elongatus),A. elongatus,Whitebait smelt (A. elongatus)
Alosa sapidissima,American shad,American shad (Alosa sapidissima),A. sapidissima,American shad (A. sapidissima)
Ammodytes personatus,Pacific sandlance,Pacific sandlance (Ammodytes personatus),A. personatus,Pacific sandlance (A. personatus)
Ammodytes hexapterus,Pacific sandlance,Pacific sandlance (Ammodytes hexapterus),A. hexapterus,Pacific sandlance (A. hexapterus)
