,CommonName,FullName,scientificName,Genus,Final_score,Upper_Level_pred_score,Vuln_fishery_score,Vuln_climate_score,Nutrient_Transporting_Species,Forage_Species,Any_CC,Vulnerability_climate_category,Troph,Max_length,Upper_level_Predators_gale,Vulnerability_fisheries,Vulnerability_fisheries_category,Vulnerability_climate,Global_CC,National_CC,Regional_CC,Recommended_CP,check_gale,check_fishbase
,Longnose skate,Longnose skate (Caliraja rhina),Caliraja rhina,Caliraja,2,2,2,NA,*,*,0,NA,4,180,2,78,Very high,NA,,,,,,
4,Pacific sandlance,Pacific sandlance (Ammodytes hexapterus),Ammodytes hexapterus,Ammodytes,2,0,1,,0,2,0,,3.13,30,0,35.3,Moderate,NA,*,*,*,X,NA,NA
5,Pacific sandlance,Pacific sandlance (Ammodytes personatus),Ammodytes personatus,Ammodytes,2,0,,,NA,2,0,Low,3.14,15,NA,13.87,Low,16.74,NA,NA,NA,NA,Yes,NA
6,Wolf eel,Wolf eel (Anarrhichthys ocellatus),Anarrhichthys ocellatus,Anarrhichthys,2,1,2,,*,-,0,,3.51,240,1,90,Very high,NA,0,*,*,X,NA,NA
8,Sablefish,Sablefish (Anoplopoma fimbria),Anoplopoma fimbria,Anoplopoma,2,1,1,2,1,-,0,High,3.84,120,2,48.68,Moderate to high,57.75,*,*,*,X,NA,NA
14,Kamchatka flounder,Kamchatka flounder (Atheresthes evermanni),Atheresthes evermanni,Atheresthes,2,2,2,1,NA,NA,0,Moderate,4.3,100,NA,64.07,High,44.37,NA,NA,NA,NA,Yes,NA
16,Blue whale,Blue whale (Balaenoptera musculus),Balaenoptera musculus,Balaenoptera,2,2,2,,1,-,2,,3.47,3300,0,78.77,Very high,NA,2,2,2,X,NA,NA
26,Pacific herring,Pacific herring (Clupea pallasii),Clupea pallasii,Clupea,2,0,1,,2,2,0,Low,3.16,46,0,49.32,Moderate to high,22.1,*,*,*,X,NA,NA
29,Giant wrymouth,Giant wrymouth (Cryptacanthodes giganteus),Cryptacanthodes giganteus,Cryptacanthodes,2,1,2,,NA,NA,0,,3.05,117,NA,70.2,High to very high,NA,NA,NA,NA,NA,Yes,NA
30,Shiner perch,Shiner perch (Cymatogaster aggregata),Cymatogaster aggregata,Cymatogaster,2,0,,,*,2,0,,2.99,20.3,0,10.3,Low,NA,0,*,*,X,NA,NA
34,Northern anchovy,Northern anchovy (Engraulis mordax),Engraulis mordax,Engraulis,2,0,,,*,2,0,Low,3.1,24.8,0,23.89,Low,21.79,0,*,*,-,NA,NA
37,Alaska pollock,Alaska pollock (Gadus chalcogrammus),Gadus chalcogrammus,Gadus,2,1,2,2,1,NA,0,High,3.57,91,NA,59.31,High,55.44,NA,NA,NA,NA,Yes,NA
42,yellow Irish lord,yellow Irish lord (Hemilepidotus jordani),Hemilepidotus jordani,Hemilepidotus,2,1,2,,NA,NA,0,,3.61,65,NA,65.84,High to very high,NA,NA,NA,NA,NA,Yes,NA
