Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
C1A9CAAOH1,Abies amabilis - Picea sitchensis / Oplopanax horridus,amabilis fir - Sitka spruce / devil's club,CWHvm1/08; CWHvm2/08,S3? (2021),Blue,GNR,N/A,N/A,,,Y,
C1A9CAAGD1,Abies amabilis - Thuja plicata / Gymnocarpium dryopteris,amabilis fir - western redcedar / oak fern,CWHms1/04; CWHms2/04; CWHws1/04; CWHws2/04,S3 (2004),Blue,GNR,N/A,N/A,,,,
C1A9CATOH1,Abies amabilis - Thuja plicata / Oplopanax horridus Moist Submaritime,amabilis fir - western redcedar / devil's club Moist Submaritime,CWHms1/06; CWHms2/06; CWHws1/06,S3 (2004),Blue,G3G4,N/A,N/A,,,,
C2A2BAARS1,Abies amabilis - Thuja plicata / Rubus spectabilis Moist Maritime 1,amabilis fir - western redcedar / salmonberry Moist Maritime 1,CWHmm1/07,S2 (2019),Red,G3G4,N/A,N/A,,South Central Coast LUO,,
C2A2BAARS2,Abies amabilis - Thuja plicata / Rubus spectabilis Moist Maritime 2,amabilis fir - western redcedar / salmonberry Moist Maritime 2,CWHmm2/08,S2S3 (2004),Blue,G3G4,N/A,N/A,,,,
C1A9CAARS1,Abies amabilis - Thuja plicata / Rubus spectabilis Very Wet Maritime,amabilis fir - western redcedar / salmonberry Very Wet Maritime,CWHvm1/07; CWHvm2/07,S3 (2019),Blue,GNR,N/A,N/A,,,,
C1A9CAATT2,Abies amabilis - Thuja plicata / Tiarella trifoliata Moist Maritime 1,amabilis fir - western redcedar / three-leaved foamflower Moist Maritime 1,CWHmm1/05,S2 (2019),Red,G2 (2005),N/A,N/A,,South Central Coast LUO,,
C1A9CAATT1,Abies amabilis - Thuja plicata / Tiarella trifoliata Very Wet Maritime,amabilis fir - western redcedar / three-leaved foamflower Very Wet Maritime,CWHmm2/05; CWHvm1/05; CWHvm2/05,S3? (2020),Blue,G3G4,N/A,N/A,,,,
C1A9CAGMN1,Abies grandis / Mahonia nervosa,grand fir / dull Oregon-grape,CDFmm/04,S1 (2009),Red,G1,N/A,N/A,,,Y,
C1A9CAGTT1,Abies grandis / Tiarella trifoliata,grand fir / three-leaved foamflower,CDFmm/06,S1 (2013),Red,G1,N/A,N/A,,,Y,
CEBC000521,Abies lasiocarpa / Alnus spp. / Equisetum spp.,subalpine fir / alders / horsetails,ESSFmv2/06; ESSFmv4/05,S3 (2004),Blue,GNR,N/A,N/A,,,,
CEBC000493,Abies lasiocarpa / Cladina spp. - Cladonia spp.,subalpine fir / reindeer lichens - clad lichens,ESSFmm1/03,S1 (2021),Red,GNR,N/A,N/A,,,,
CEBC000192,Abies lasiocarpa - Pinus albicaulis / Juniperus communis,subalpine fir - whitebark pine / common juniper,ESSFdv/03; ESSFdv1/,S3 (2009),Blue,G3,N/A,N/A,,,,
CEBC000180,Abies lasiocarpa / Rhododendron albiflorum / Valeriana sitchensis,subalpine fir / white-flowered rhododendron / sitka valerian,ESSFdc1/04; ESSFdc2/07,S3 (2004),Blue,GNR,N/A,N/A,,,,
CEBC000193,Abies lasiocarpa / Vaccinium membranaceum / Brachythecium spp.,subalpine fir / black huckleberry / ragged-mosses,ESSFdv/04; ESSFdv1/,S3 (2004),Blue,G3,N/A,N/A,,,,
