COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Basking Shark,Pacific population,Endangered,2018-04-27,Cetorhinus maximus,Basking Shark,Pacific population,Endangered,2010-02-23,Schedule 1,2010-02-23,"British Columbia, Pacific Ocean",Fishes (marine),,Added to list
Blue Shark,North Pacific population,Not at Risk,2016-11-27,Prionace glauca,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
California Sea Lion,,Not at Risk,1987-04-01,Zalophus californianus,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Mammals (marine),,
Chinook Salmon,"East Vancouver Island, Ocean, Fall (EVI + SFj) population",Not at Risk,2020-11-04,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chinook Salmon,"East Vancouver Island, Ocean, Fall population",Special Concern,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"East Vancouver Island, Ocean, Fall population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"East Vancouver Island, Ocean, Summer population",Endangered,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"East Vancouver Island, Ocean, Summer population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"East Vancouver Island, Stream, Spring population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"East Vancouver Island, Stream, Spring population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Fraser, Ocean, Fall population",Threatened,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Ocean, Fall population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Fraser, Ocean, Summer population",Endangered,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Ocean, Summer population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Fraser, Stream, Spring population",Special Concern,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Spring population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Fraser, Stream, Summer (Upper Pitt) population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Summer (Upper Pitt) population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Fraser, Stream, Summer population",Threatened,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Summer population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Thompson, Stream, Spring population",Endangered,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Thompson, Stream, Spring population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Middle Fraser, Stream, Fall population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Fall population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Middle Fraser, Stream, Spring (MFR+GStr) population",Threatened,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Spring (MFR+GStr) population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Middle Fraser, Stream, Spring population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Spring population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Middle Fraser, Stream, Summer population",Threatened,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Summer population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"North Thompson, Stream, Spring population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"North Thompson, Stream, Spring population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"North Thompson, Stream, Summer population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"North Thompson, Stream, Summer population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,Okanagan population,Endangered,2017-04-28,Oncorhynchus tshawytscha,Chinook Salmon,Okanagan population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"South Coast - Georgia Strait, Ocean, Fall population",Data Deficient,2020-11-04,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chinook Salmon,"South Coast - Southern Fjords, Ocean, Fall population",Data Deficient,2020-11-04,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chinook Salmon,"South Thompson, Ocean, Summer population",Not at Risk,2018-11-01,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chinook Salmon,"South Thompson, Stream, Summer 1.2 population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"South Thompson, Stream, Summer 1.2 population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"South Thompson, Stream, Summer 1.3 population",Endangered,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"South Thompson, Stream, Summer 1.3 population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Southern Mainland Boundary Bay, Ocean, Fall population",Threatened,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"Southern Mainland Boundary Bay, Ocean, Fall population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Southern Mainland, Ocean, Summer population",Data Deficient,2018-11-01,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chinook Salmon,"Southern Mainland, Stream, Summer population",Data Deficient,2018-11-01,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chinook Salmon,"Upper Fraser, Stream, Spring population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Upper Fraser, Stream, Spring population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population",Threatened,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"West Vancouver Island, Ocean, Fall (South) population",Threatened,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"West Vancouver Island, Ocean, Fall (South) population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"West Vancouver Island, Ocean, Fall (WVI + WQCI) population",Data Deficient,2020-11-04,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
