Common_Name,scientificName,Trophic_Level,Max_Size_(cm;_Total_or_standard_length);_fish_only,Vulnerability_Category,Vulnerable_Species,Upper_level_Predators,Forage_Species,Nutrient_Transporting_Species,Habitat_forming_Species,Any_CC,Global_CC,National_CC,Regional_CC,Recommended_CP
Arrowtooth,Atheresthes stomias,4.2,84,H,2,2,-,*,-,*,*,*,*,X
Butter Sole,Isopsetta isolepis,3.6,55,L-M,0,1,-,*,-,*,*,*,*,-
Dover Sole,Microstomus pacificus,3.2,76,H-VH,2,1,-,*,-,*,*,*,*,X
English Sole,Parophrys vetulus,3.4,57,M,1,1,-,*,-,*,*,*,*,-
Flathead Sole,Hippoglossoides elassodon,3.7,52,M,1,0,-,*,-,*,*,*,*,-
Pacific Halibut,Hippoglossus stenolepis,4.1,267,VH,2,2,-,1,-,*,*,*,*,X
Pacific Sanddab,Citharichthys sordidus,3.5,41,L-M,0,0,-,*,-,*,*,*,*,-
Petrale Sole,Eopsetta jordani,4.1,70,H,2,1,-,0,-,0,0,*,*,X
Rex Sole,Glyptocephalus zachirus,3.3,60,H,2,1,-,0,-,*,*,*,*,X
Rock Sole,Lepidopsetta bilineata,3.2,60,H,2,1,-,0,-,*,*,*,*,X
Sand Sole,Psettichthys melanostictus,4.1,63,M,1,1,-,0,-,*,*,*,*,-
Slender Sole,Lyopsetta exilis,3.5,35,M-H,1,0,-,*,-,0,0,*,*,-
Speckled Sanddab,Citharichthys stigmaeus,3.4,17,L,0,0,-,*,-,*,*,*,*,-
Starry Flounder,Platichthys stellatus,3.6,91,M-H,1,1,-,*,-,0,0,*,*,-
Capelin,Mallotus villosus,3.2,25.2,L,0,0,2,*,-,0,0,*,*,X
Eulachon,Thaleichthys pacificus,3.3,34,L-M,0,0,2,2,-,2,0,2,2,X
Longfin Smelt,Spirinchus thaleichthys,3.2,20,L-M,0,0,1*,1*,-,0,0,*,*,-
Northern Anchovy,Engraulis mordax,3.1,24.8,L-M,0,0,1*,*,-,0,0,*,*,-
Pacific Herring,Clupea pallasii,3.2,46,L-M,0,0,2,2,-,*,*,*,*,X
Pacific Sand Lance,Ammodytes hexapterus,3.1,30,L-M,0,0,2,0,-,*,*,*,*,X
