scientificName,Nutrient_Transporting_Species
Eopsetta jordani,0
Glyptocephalus zachirus,0
Lepidopsetta bilineata,0
Psettichthys melanostictus,0
Ammodytes hexapterus,0
Scorpaenichthys marmoratus,0
Hexagrammos decagrammus,0
Sebastes nebulosus,0
Sebastes caurinus,0
Sebastes alutus,0
Sebastes maliger,0
Sebastolobus altivelis,0
Sebastolobus alascanus,0
Gadus macrocephalus,0
Hexanchus griseus,0
Raja binoculata,0
Phocoenoides dalli,0
Phocoena phocoena,0
Phoca vitulina,0
Enhydra lutris,0
Antipatharia,0
Scleractinia,0
Pennatulacea,0
Alcyonacea,0
Pollicipes polymerus,0
Lopholithodes foraminatus,0
Chionoecetes tanneri,0
Metacarcinus magister,0
Hippoglossus stenolepis,1
Sardinops sagax,1
Anoplopoma fimbria,1
Oncorhynchus clarkii,1
Oncorhynchus mykiss,1
Thunnus alalunga,1
Trachurus symmetricus,1
Mola mola,1
Merluccius productus,1
Acipenser medirostris,1
Squalus suckleyi,1
Cetorhinus maximus,1
Prionace glauca,1
Lamna ditropis,1
Lissodelphis borealis,1
Lagenorhynchus obliquidens,1
Grampus griseus,1
Orcinus orca,1
Orcinus orca,1
Orcinus orca,1
Orcinus orca,1
Zalophus californianus,1
Mirounga angustirostris,1
Callorhinus ursinus,1
Eumetopias jubatus,1
Balaenoptera musculus,1
Balaenoptera acutorostrata,1
Balaenoptera physalus,1
Eschrichtius robustus,1
Megaptera novaeangliae,1
Eubalaena japonica,1
Balaenoptera borealis,1
Physeter macrocephalus,1
Dermochelys coriacea,1
Thaleichthys pacificus,2
Clupea pallasii,2
Oncorhynchus tshawytscha,2
Oncorhynchus keta,2
Oncorhynchus kisutch,2
Oncorhynchus gorbuscha,2
Oncorhynchus nerka,2
Atheresthes stomias,*
Isopsetta isolepis,*
Microstomus pacificus,*
Parophrys vetulus,*
Hippoglossoides elassodon,*
Citharichthys sordidus,*
Lyopsetta exilis,*
Citharichthys stigmaeus,*
Platichthys stellatus,*
Mallotus villosus,*
Engraulis mordax,*
Hypomesus pretiosus,*
Ophiodon elongatus,*
Ronquilus jordani,*
Trichodon trichodon,*
Zaprora silenus,*
Anarrhichthys ocellatus,*
Stenobrachius leucopsarus,*
Leuroglossus schmidti,*
Salvelinus malma lordi,*
Sebastes melanops,*
Sebastes melanostictus,*
Sebastes paucispinis,*
Sebastes pinniger,*
Sebastes crameri,*
Sebastes variabilis,*
Sebastes elongatus,*
Sebastes babcocki,*
Sebastes proriger,*
Sebastes helvomaculatus,*
Sebastes aleutianus,*
Sebastes zacentrus,*
Sebastes borealis,*
Sebastes brevispinis,*
Sebastes nigrocinctus,*
Sebastes miniatus,*
Sebastes entomelas,*
Sebastes ruberrimus,*
Sebastes reedi,*
Sebastes flavidus,*
Microgadus proximus,*
Theragra chalcogramma,*
Brachyistius frenatus,*
Rhacochilus vacca,*
Cymatogaster aggregata,*
Embiotoca lateralis,*
Apristurus brunneus,*
Somniosus pacificus,*
Raja rhina,*
Bathyraja trachura,*
Bathyraja interrupta,*
Spirinchus thaleichthys,1*
Cololabis saira,1*
Scomber japonicus,1*
Brama japonica,1*
