"","Phylum","Class","Order","Family","Genus","Species","scientificName","RI","BU","TO","HS","IA","Somme","Spring","Summer","Fall","Winter","Somme.1","Common.Name","Trophic.Level","Max.Size..cm..Total.or.standard.length...fish.only","Vulnerability.Category","X1.1.S1..Vulnerable.Species","X1.2.S1..Upper.level.Predators","X1.2.S2..Forage.Species","X1.2.S3..Nutrient.Transporting.Species","X1.2.S4..Habitat.forming.Species","X1.5.S1.Any.CC","Global.CC","National.CC","Regional.CC","Recommended.CP"
"1","Chordata","Actinopteri","Scorpaeniformes","Agonidae","Agonopsis","vulsa","Agonopsis vulsa",0,0,1,1,1,3,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Chordata","Actinopteri","Scorpaeniformes","Stichaeidae","Alectrias","alectrolophus","Alectrias alectrolophus",1,0,1,0,0,2,1,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","sapidissima","Alosa sapidissima",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Chordata","Actinopteri","Trachiniformes","Ammodytidae","Ammodytes","hexapterus","Ammodytes hexapterus",1,1,1,0,0,3,0,0,1,1,2,"Pacific Sand Lance","3.1","30","L-M","0",0,"2","0","-","*","*","*","*","X"
"5","Chordata","Actinopteri","Trachiniformes","Ammodytidae","Ammodytes","personatus","Ammodytes personatus",1,0,1,1,1,4,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Chordata","Actinopteri","Scorpaeniformes","Anarhichadidae","Anarrhichthys","ocellatus","Anarrhichthys ocellatus",1,1,1,1,1,5,1,0,1,1,3,"Wolf-eel","3.5","240","VH","2",1,"-","*","-","0","0","*","*","X"
"7","Chordata","Actinopteri","Scorpaeniformes","Stichaeidae","Anisarchus","medius","Anisarchus medius",1,0,1,0,1,3,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Chordata","Actinopteri","Scorpaeniformes","Stichaeidae","Anoplarchus","purpurescens","Anoplarchus purpurescens",0,1,0,0,1,2,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Chordata","Actinopteri","Scorpaeniformes","Anoplopomatidae","Anoplopoma","fimbria","Anoplopoma fimbria",0,1,1,1,1,4,1,0,0,1,2,"Sablefish","3.8*","120","H","2",2,"-","1","-","*","*","*","*","X"
"10","Chordata","Actinopteri","Scorpaeniformes","Pholidae","Apodichthys","flavidus","Apodichthys flavidus",1,0,1,1,1,4,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Chordata","Actinopteri","Scorpaeniformes","Pholidae","Apodichthys","fucorum","Apodichthys fucorum",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Artedius","fenestralis","Artedius fenestralis",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Artedius","harringtoni","Artedius harringtoni",1,1,1,1,1,5,0,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Artedius","lateralis","Artedius lateralis",0,1,0,1,1,3,1,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Ascelichthys","rhodorus","Ascelichthys rhodorus",1,1,1,1,1,5,1,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Atheresthes","evermanni","Atheresthes evermanni",0,1,1,1,0,3,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Chordata","Actinopteri","Scorpaeniformes","Aulorhynchidae","Aulorhynchus","flavidus","Aulorhynchus flavidus",1,0,1,1,1,4,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","musculus","Balaenoptera musculus",0,1,1,0,0,2,0,0,0,1,1,"Blue Whale","3.3","-","VH","2",0,"-","1","-","2","2","2","2","X"
"19","Chordata","Actinopteri","Scorpaeniformes","Agonidae","Bathyagonus","pentacanthus","Bathyagonus pentacanthus",0,0,0,1,1,2,1,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Chordata","Actinopteri","Gadiformes","Gadidae","Boreogadus","saida","Boreogadus saida",1,1,1,1,1,5,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Chordata","Actinopteri","Scorpaeniformes","Zoarcidae","Bothrocara","hollandi","Bothrocara hollandi",1,0,0,1,1,3,0,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Chordata","Actinopteri","Ovalentaria","Embiotocidae","Brachyistius","frenatus","Brachyistius frenatus",1,0,1,1,1,4,1,1,0,1,3,"Kelp Perch","3.5","22","L","0",0,"1*","*","-","*","*","*","*","-"
"23","Chordata","Actinopteri","Ophidiiformes","Bythitidae","Brosmophycis","marginata","Brosmophycis marginata",1,1,1,0,0,3,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Careproctus","simus","Careproctus simus",1,1,0,0,0,2,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Chordata","Actinopteri","Cypriniformes","Catostomidae","Catostomus","catostomus","Catostomus catostomus",0,0,0,1,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Chordata","Actinopteri","Scorpaeniformes","Agonidae","Chesnonia","verrucosa","Chesnonia verrucosa",0,0,0,1,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys","sordidus","Citharichthys sordidus",1,1,1,1,0,4,1,0,0,0,1,"Pacific Sanddab","3.5","41","L-M","0",0,"-","*","-","*","*","*","*","-"
"28","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","Citharichthys stigmaeus",1,1,1,1,1,5,1,0,0,1,2,"Speckled Sanddab","3.4","17","L","0",0,"-","*","-","*","*","*","*","-"
"29","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Clinocottus","acuticeps","Clinocottus acuticeps",1,1,1,0,1,4,1,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Clinocottus","globiceps","Clinocottus globiceps",0,0,1,1,1,3,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","pallasii","Clupea pallasii",1,0,1,1,1,4,1,1,1,1,4,"Pacific Herring","3.2","46","L-M","0",0,"2","2","-","*","*","*","*","X"
"32","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Cottus","aleuticus","Cottus aleuticus",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Cottus","asper","Cottus asper",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Chordata","Actinopteri","Scorpaeniformes","Cryptacanthodidae","Cryptacanthodes","giganteus","Cryptacanthodes giganteus",1,1,1,1,0,4,1,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Chordata","Actinopteri","Ovalentaria","Embiotocidae","Cymatogaster","aggregata","Cymatogaster aggregata",1,1,1,1,1,5,1,1,1,1,4,"Shiner perch","3","20","L","0",0,"2","*","-","0","0","*","*","X"
"36","Chordata","Actinopteri","Scorpaeniformes","Psychrolutidae","Dasycottus","setiger","Dasycottus setiger",1,1,0,0,0,2,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Chordata","Mammalia","Artiodactyla","Delphinidae","Delphinus","delphis","Delphinus delphis",1,1,1,1,0,4,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diaphus","theta","Diaphus theta",0,1,1,1,0,3,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Chordata","Actinopteri","Ovalentaria","Embiotocidae","Embiotoca","lateralis","Embiotoca lateralis",1,1,1,0,1,4,1,0,1,1,3,"Striped Seaperch","3.3","38","M","1",0,"1*","*","-","*","*","*","*","-"
"40","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","mordax","Engraulis mordax",1,0,1,1,1,4,1,1,1,1,4,"Northern Anchovy","3.1","24.8","L-M","0",0,"1*","*","-","0","0","*","*","-"
"41","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Enophrys","bison","Enophrys bison",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Chordata","Actinopteri","Scorpaeniformes","Stichaeidae","Eumesogrammus","praecisus","Eumesogrammus praecisus",1,0,1,1,1,4,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Chordata","Mammalia","Carnivora","Otariidae","Eumetopias","jubatus","Eumetopias jubatus",0,1,0,1,0,2,1,0,0,0,1,"Steller Sea Lion","4.4","-","H","2",2,"-","1","-","1","1","1","1","X"
"44","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","chalcogrammus","Gadus chalcogrammus",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","macrocephalus","Gadus macrocephalus",1,1,1,1,1,5,1,1,1,1,4,"Pacific Cod","4.2","119","M-H","1",2,"0","0","-","*","*","*","*","X"
"46","Chordata","Actinopteri","Scorpaeniformes","Gasterosteidae","Gasterosteus","aculeatus","Gasterosteus aculeatus",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Chordata","Actinopteri","Blenniiformes","Clinidae","Gibbonsia","metzi","Gibbonsia metzi",0,1,1,0,1,3,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Chordata","Actinopteri","Blenniiformes","Clinidae","Gibbonsia","montereyensis","Gibbonsia montereyensis",0,0,0,0,1,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Chordata","Actinopteri","Gobiesociformes","Gobiesocidae","Gobiesox","maeandricus","Gobiesox maeandricus",1,0,1,1,1,4,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Hemilepidotus","hemilepidotus","Hemilepidotus hemilepidotus",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Hemilepidotus","jordani","Hemilepidotus jordani",1,1,0,1,0,3,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
