,scientificName
1,Atheresthes evermanni
2,Salmo salar
3,Salvelinus malma
4,Liparis greeni
5,Liparis pulchellus
6,Lycodes brevipes
7,Lycodes pacificus
8,Agonopsis vulsa
9,Alectrias alectrolophus
10,Alosa sapidissima
11,Ammodytes personatus
12,Anisarchus medius
13,Apodichthys flavidus
14,Artedius fenestralis
15,Artedius harringtoni
16,Artedius lateralis
17,Ascelichthys rhodorus
18,Aulorhynchus flavidus
19,Bathyagonus pentacanthus
20,Brosmophycis marginata
21,Careproctus simus
22,Catostomus catostomus
23,Clinocottus acuticeps
24,Clinocottus globiceps
25,Cottus aleuticus
26,Cottus asper
27,Cryptacanthodes giganteus
28,Dasycottus setiger
29,Diaphus theta
30,Enophrys bison
31,Eumesogrammus praecisus
32,Gadus chalcogrammus
33,Gasterosteus aculeatus
34,Gobiesox maeandricus
35,Hemilepidotus hemilepidotus
36,Hemilepidotus jordani
37,Hexagrammos lagocephalus
38,Hydrolagus colliei
39,Hypsagonus quadricornis
40,Icelinus borealis
41,Icelinus burchami
42,Icelinus filamentosus
43,Icelinus fimbriatus
44,Jordania zonope
45,Lepidogobius lepidus
46,Lepidopsetta polyxystra
47,Lepomis gibbosus
48,Leptoclinus maculatus
49,Leptocottus armatus
50,Liparis cyclopus
51,Liparis florae
52,Lipariscus nanus
53,Lumpenella longirostris
54,Lumpenus sagitta
55,Lycodapus mandibularis
56,Lycodapus parviceps
57,Myoxocephalus polyacanthocephalus
58,Nautichthys oculofasciatus
59,Nectoliparis pelagicus
60,Oligocottus maculosus
61,Osmerus mordax
62,Oxylebius pictus
63,Paraliparis rosaceus
64,Percis japonica
65,Phanerodon furcatus
66,Phanerodon vacca
67,Pholis clemensi
68,Pholis laeta
69,Pholis ornata
70,Phytichthys chirus
71,Pleuronectes quadrituberculatus
72,Pleuronichthys coenosus
73,Podothecus accipenserinus
74,Poroclinus rothrocki
75,Psychrolutes sigalutes
76,Radulinus asprellus
77,Rhamphocottus richardsonii
78,Rhinoliparis barbulifer
79,Rimicola muscarum
80,Salvelinus confluentus
81,Sebastolobus macrochir
82,Stenobrachius nannochir
83,Syngnathus leptorhynchus
84,Tarletonbeania taylori
85,Trichocottus brashnikovi
86,Xeneretmus latifrons
